Subbasin ID,Total Area (acres),Composite CN,,,,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,26.5,84,2226.11,,,,
,R1,D,3.86,84,324.24,,,,
,,,,,,,,,
136,1.7,88.24,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,26.5,84,2226.11,,,,
,R1,D,3.86,84,324.24,,,,
,,,,,,,,,
137,7.49,84,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,D,26.5,84,2226.11,,,,
,R1,D,3.86,84,324.24,,,,
,,,,,,,,,
138,1.02,88.24,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,26.5,84,2226.11,,,,
,R1,D,3.86,84,324.24,,,,
,,,,,,,,,
139,15.62,84,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,D,353.54,84,29697.08,,,,
,R1,D,3.71,84,311.82,,,,
,,,,,,,,,
140,3.34,94.07,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,5.16,84,433.15,,,,
,,,,,,,,,
141,3.36,94.07,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,5.16,84,433.15,,,,
,,,,,,,,,
142,6.31,84.5,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,353.54,84,29697.08,,,,
,R1,D,3.71,84,311.82,,,,
,R1,D,0.26,84,21.9,,,,
,,,,,,,,,
143,4.72,84,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,R1,D,353.54,84,29697.08,,,,
,R1,D,3.71,84,311.82,,,,
,,,,,,,,,
144,17.43,84.5,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,353.54,84,29697.08,,,,
,R1,D,0.26,84,21.9,,,,
,,,,,,,,,
145,4.84,84.5,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,353.54,84,29697.08,,,,
,R1,D,0.21,84,17.69,,,,
,,,,,,,,,
146,17.44,88.24,,,,,,,
,Land Use,Soil Type,Area (acres),CN Value,CN x Area,,,,
,IMP,D,13.21,98,1294.4,,,,
,R1,D,26.5,84,2226.11,,,,
,R1,D,3.86,84,324.24,,,,
